                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1906,                 4.2908,                 4.2519,                0.00222,                0.61837,                0.00405,                0.00128,                 3.2052,                  4.691,                 4.0867,               0.070316,              0.0032982,              0.0032982
                      1,                 3.2188,                 4.2026,                 4.0845,                0.00213,                0.64218,                0.00786,                0.00256,                 3.1671,                 4.6624,                  4.045,               0.038127,              0.0044432,              0.0044432
                      2,                  3.143,                 4.1276,                 3.9465,                0.29452,                0.04545,                0.01847,                0.00321,                 3.2024,                 5.2313,                 3.9707,              0.0037389,              0.0033881,              0.0033881
